Text,Label,OriginalLabel,PredictedLabel,Mean,Std,EditedStd
7년 사용한TV가 토요일 오전에  고장  AS 하고 사용하려다  삼성  TV 가 1등급 이고 가격도 넘 좋아  AS포기하고 새것으로 구매 배송  주말포함4일  소요  아주 맘에 들어요  역쉬  삼성!   잘 쓸께요,,0.0,0.0,"[6.045200824737549, -3.601520299911499, -2.194974422454834]","[0.1598588228225708, 0.18203136324882507, 0.14839419722557068]","[0.011464625597000122, 0.033637166023254395, 0.0]"
배송잘받았구요 티비늠 엘지라 고민없이 주문했어요 사운드바사용할라했는데 티지가 커서 티비아래놓으？ 화면을 가려서 못쓰는데 문제는 티비 스피커가 좋아서 사운드바 필요없어서 그냔 티비만 보는중입니다 정말잘규매한둣헙니다 ,,0.0,0.0,"[6.08144474029541, -3.442659616470337, -2.401205539703369]","[0.15038299560546875, 0.1407250165939331, 0.17372623085975647]","[0.009657979011535645, 0.0, 0.033001214265823364]"
토욜 주문하고 다음주 목욜 설치 받았습니다 최저가보다 조금 더주더라도 lg공식몰이고 믿을 수 있는 ssg에서 구매했구요카드 할인 받아서 차액도 크지않아서 굿~올레드 55사이즈가 할인폭이 커서 가격대비 만족도가 커요,,0.0,0.0,"[5.955015182495117, -2.8970983028411865, -3.090665340423584]","[0.18099012970924377, 0.16086018085479736, 0.1516975611448288]","[0.029292568564414978, 0.009162619709968567, 0.0]"
딸 아이가 예쁘다고 해서 사줬는데  예뻐요9살 아이가 하기엔 줄이랑 조금 크긴 하지만 그래도 끈 묶고 씌워주면 되니 저는 만족 합니다 재구매 의향 있고 마스크에 KF94 찍혀 있고 날개 모양도 너무 귀염뽀작 입니다,,0.0,0.0,"[6.066556930541992, -3.686826705932617, -2.177041530609131]","[0.14585848152637482, 0.16976316273212433, 0.1535240113735199]","[0.0, 0.02390468120574951, 0.007665529847145081]"
"코로나도 그렇고, 미세먼지도 심하고, 곧 황사도 올꺼라서 한꺼번에 넉넉히 구매했어요~ 중국은 정작 줘야 할 금메달은 안 주고, 필요 없는 코로나, 미세먼지, 황사 3종 세트를 주네요~마스크 잘 쓸게요~감사합니다^^",,0.0,0.0,"[6.139596462249756, -3.486069440841675, -2.661975145339966]","[0.138790562748909, 0.1507742553949356, 0.15918582677841187]","[0.0, 0.011983692646026611, 0.02039526402950287]"
부모님 집 티비가 너무 오래 되서 바꿔드리게 되었는데배송도 생각보다 빨리오고 설치까지 해주셨어요부모님이 화질도 좋고 소리가 노래방 온것 처럼 잘들린다고 좋아하시네요저렴하게 너무 잘 산것 같아 뿌듯하네요감사합니다.,,0.0,0.0,"[6.036795616149902, -3.644864559173584, -2.280151844024658]","[0.17509415745735168, 0.14793065190315247, 0.15425331890583038]","[0.02716350555419922, 0.0, 0.0063226670026779175]"
한달 사용후기입니다.사무실에서 사용중인데노트북 무선연결이 잘되서 회의 때 편리합니다. 유튜브도 바로 시청 가능하고 삼성비지니스TV 앱을 사용하면 제품홍보용 화면 구성도 가능합니다여러모로 만족하며 사용하고 있습니다,,0.0,0.0,"[6.111242294311523, -3.481332302093506, -2.494091272354126]","[0.16186116635799408, 0.16162681579589844, 0.15569880604743958]","[0.006162360310554504, 0.005928009748458862, 0.0]"
얼마나 싸고 좋은지요어른집에 설치하는 거였는데 어른들 불편하실까봐 다 배려해주시고 사전 전화까지 해주신 사장님감사합니다설치기사님 넘 잘해주셔서 어른들 넘 좋아하셨어요젤싸고 좋은 물건 넘 감사드립니다 사업번창하세요,,0.0,0.0,"[6.023176193237305, -3.5619776248931885, -2.2237744331359863]","[0.16905538737773895, 0.18068836629390717, 0.17018505930900574]","[0.0, 0.011632978916168213, 0.0011296719312667847]"
배송이 엄청 빨랐어요금욜시켰는데 일욜전화오고 월욜아침 설치됨주말이라 월욜 전화올줄알았는데~~엄청 빠르네요아주 크고 좋습니다화면도 옆에서봐도 선명함이 살아있어요시골 어머님댁 시드렸는데 좋아하셔요빛 반사도없어 좋아요,,0.0,0.0,"[5.860345363616943, -2.8146631717681885, -3.093330144882202]","[0.1555478572845459, 0.1483515501022339, 0.17962424457073212]","[0.007196307182312012, 0.0, 0.03127269446849823]"
이가격에 UHD TV 를 구매하긴 힘들었어요한참 쇼핑을로 알아보고 구매했습니다여자들은 hud 화질을 모르더라고요 그냥 금액만 보고 예산과 합의를 보는데tv는 화질이죠 금액도 저렴하면서 화질좋은 tv로 추천 합니다,,0.0,0.0,"[6.116917610168457, -3.6309094429016113, -2.2778987884521484]","[0.16403666138648987, 0.1652771234512329, 0.15011875331401825]","[0.013917908072471619, 0.01515837013721466, 0.0]"
