ClusterIdx,PredictedLabel,TextLength,Std,Text,Mean
1,0,7,"[0.12353233993053436, 0.08578331023454666, 0.10827838629484177]",배공빠르고 굿,"[5.855958938598633, -3.5448555946350098, -4.360843658447266]"
1,0,29,"[0.10847872495651245, 0.08414094150066376, 0.10165758430957794]",택배가 엉망이네용 저희집 밑에층에 말도없이 놔두고가고,"[5.9428791999816895, -3.419792413711548, -4.628573417663574]"
2,1,68,"[0.12270274758338928, 0.11204929649829865, 0.14465564489364624]",아주좋아요 바지 정말 좋아서2개 더 구매했어요 이가격에 대박입니다. 바느질이 조금 엉성하긴 하지만 편하고 가성비 최고예요.,"[-3.270785331726074, 6.159771919250488, -2.6916840076446533]"
0,1,136,"[0.09576103091239929, 0.06781642138957977, 0.07867869734764099]",선물용으로 빨리 받아서 전달했어야 하는 상품이었는데 머그컵만 와서 당황했습니다. 전화했더니 바로주신다했지만 배송도 누락되어있었네요.. 확인안하고 바로 선물했으면 큰일날뻔했네요..이렇게 배송이 오래걸렸으면 사는거 다시 생각했을거같아요 아쉽네요..,"[-4.719759941101074, 2.829071283340454, 1.8721624612808228]"
1,0,33,"[0.09968758374452591, 0.08705189824104309, 0.11282863467931747]",민트색상 예뻐요. 옆 손잡이는 거는 용도로도 사용되네요 ㅎㅎ,"[5.261826992034912, -2.022921562194824, -5.349763870239258]"
2,1,68,"[0.1502731889486313, 0.11422029137611389, 0.1580921858549118]",비추합니다 계란 뒤집을 때 완전 불편해요 ㅠㅠ 코팅도 묻어나고 보기엔 예쁘고 실용적으로 보였는데 생각보다 진짜 별로입니다.,"[-3.337364912033081, 6.147214412689209, -2.6121420860290527]"
0,2,95,"[0.10385947674512863, 0.06804109364748001, 0.11220724135637283]",주문을 11월6에 시켰는데 11월16일에 배송이 왔네요 ㅎㅎㅎ 여기 회사측과는 전화도 안되고 아무런 연락을 받을수가 없으니 답답하신 분들은 다른곳에서 사시는거 추천드립니다,"[-4.5003557205200195, -1.3262094259262085, 6.002949237823486]"
1,0,25,"[0.09554782509803772, 0.07005367428064346, 0.11446977406740189]",넉넉한 길이로 주문했는데도 안 맞네요 별로예요,"[3.692445993423462, -0.008944031782448292, -5.677255630493164]"
1,0,25,"[0.08389912545681, 0.0804680734872818, 0.09832911938428879]",보폴이 계속 때처럼 나오다가 지금은 안나네요~,"[4.097750663757324, -0.6884920597076416, -5.466289043426514]"
2,1,124,"[0.06857354938983917, 0.06270681321620941, 0.07043419778347015]",110인데 전문속옷브랜드 위생팬티105보다 작은듯해요. 불편해요. 밴딩부분이 다 신축성없는 일반실로 되어있어 빅사이즈임에도 빅사이즈같지않아요. 입고벗을때 편하게 밴딩부분이 늘어나고 입었을때도 밴딩이 잡아주어야하는데 말이죠.,"[-2.504744052886963, 3.025334119796753, -0.46995657682418823]"
