ClusterIdx,OriginalLabel,PredictedLabel,TextLength,Std,Text,Mean
1,2,0,119,"[0.17288833856582642, 0.15269240736961365, 0.16254596412181854]",7년 사용한TV가 토요일 오전에  고장  AS 하고 사용하려다  삼성  TV 가 1등급 이고 가격도 넘 좋아  AS포기하고 새것으로 구매 배송  주말포함4일  소요  아주 맘에 들어요  역쉬  삼성!   잘 쓸께요,"[6.038326263427734, -3.5930662155151367, -2.165653944015503]"
1,2,0,119,"[0.14166706800460815, 0.1446845680475235, 0.1587068736553192]",배송잘받았구요 티비늠 엘지라 고민없이 주문했어요 사운드바사용할라했는데 티지가 커서 티비아래놓으？ 화면을 가려서 못쓰는데 문제는 티비 스피커가 좋아서 사운드바 필요없어서 그냔 티비만 보는중입니다 정말잘규매한둣헙니다 ,"[6.0784831047058105, -3.444566249847412, -2.4311392307281494]"
1,2,0,119,"[0.20110084116458893, 0.15640151500701904, 0.18314629793167114]",토욜 주문하고 다음주 목욜 설치 받았습니다 최저가보다 조금 더주더라도 lg공식몰이고 믿을 수 있는 ssg에서 구매했구요카드 할인 받아서 차액도 크지않아서 굿~올레드 55사이즈가 할인폭이 커서 가격대비 만족도가 커요,"[5.916101455688477, -2.873419761657715, -3.0949981212615967]"
1,2,0,119,"[0.16348101198673248, 0.1437613070011139, 0.17475251853466034]",딸 아이가 예쁘다고 해서 사줬는데  예뻐요9살 아이가 하기엔 줄이랑 조금 크긴 하지만 그래도 끈 묶고 씌워주면 되니 저는 만족 합니다 재구매 의향 있고 마스크에 KF94 찍혀 있고 날개 모양도 너무 귀염뽀작 입니다,"[6.026451587677002, -3.6794371604919434, -2.1249611377716064]"
1,2,0,119,"[0.16086769104003906, 0.1590670645236969, 0.17339584231376648]","코로나도 그렇고, 미세먼지도 심하고, 곧 황사도 올꺼라서 한꺼번에 넉넉히 구매했어요~ 중국은 정작 줘야 할 금메달은 안 주고, 필요 없는 코로나, 미세먼지, 황사 3종 세트를 주네요~마스크 잘 쓸게요~감사합니다^^","[6.141974925994873, -3.4471635818481445, -2.660454034805298]"
1,2,0,118,"[0.14348116517066956, 0.1716906875371933, 0.1588079333305359]",부모님 집 티비가 너무 오래 되서 바꿔드리게 되었는데배송도 생각보다 빨리오고 설치까지 해주셨어요부모님이 화질도 좋고 소리가 노래방 온것 처럼 잘들린다고 좋아하시네요저렴하게 너무 잘 산것 같아 뿌듯하네요감사합니다.,"[6.0425896644592285, -3.6567471027374268, -2.2680699825286865]"
1,2,0,118,"[0.17111095786094666, 0.16246755421161652, 0.17342862486839294]",한달 사용후기입니다.사무실에서 사용중인데노트북 무선연결이 잘되서 회의 때 편리합니다. 유튜브도 바로 시청 가능하고 삼성비지니스TV 앱을 사용하면 제품홍보용 화면 구성도 가능합니다여러모로 만족하며 사용하고 있습니다,"[6.13572883605957, -3.451458215713501, -2.489206314086914]"
1,2,0,118,"[0.19086849689483643, 0.17477333545684814, 0.15026551485061646]",얼마나 싸고 좋은지요어른집에 설치하는 거였는데 어른들 불편하실까봐 다 배려해주시고 사전 전화까지 해주신 사장님감사합니다설치기사님 넘 잘해주셔서 어른들 넘 좋아하셨어요젤싸고 좋은 물건 넘 감사드립니다 사업번창하세요,"[6.039772987365723, -3.526751756668091, -2.194946527481079]"
1,2,0,118,"[0.16389970481395721, 0.14804978668689728, 0.1707875281572342]",배송이 엄청 빨랐어요금욜시켰는데 일욜전화오고 월욜아침 설치됨주말이라 월욜 전화올줄알았는데~~엄청 빠르네요아주 크고 좋습니다화면도 옆에서봐도 선명함이 살아있어요시골 어머님댁 시드렸는데 좋아하셔요빛 반사도없어 좋아요,"[5.853647232055664, -2.8380706310272217, -3.0756642818450928]"
1,2,0,118,"[0.1857178509235382, 0.17990736663341522, 0.14940083026885986]",이가격에 UHD TV 를 구매하긴 힘들었어요한참 쇼핑을로 알아보고 구매했습니다여자들은 hud 화질을 모르더라고요 그냥 금액만 보고 예산과 합의를 보는데tv는 화질이죠 금액도 저렴하면서 화질좋은 tv로 추천 합니다,"[6.0982279777526855, -3.662381172180176, -2.2777271270751953]"
1,2,0,118,"[0.15997940301895142, 0.1423606425523758, 0.16675511002540588]",QUQU 크린숨 마스크 강추 KF94마스크가 많이 나와있어서 검색해 봤는데 사이즈나 질 면 가격 모두 만족합니다 숨쉬기 편하고 입술이 마스크에 붙지도 않고 피부가 가렵거나 하지도 않아요 직원들과 나눠쓰려고 샀어요,"[6.1410064697265625, -3.2622480392456055, -2.749220609664917]"
1,2,0,118,"[0.16748465597629547, 0.15540850162506104, 0.16402018070220947]",아기 피부가 닿는 안쪽면이 너무 부드럽고 좋아요~ 보풀이 나지않는 재질이라 가렵거나 하는것도 없을거 같아 너무 맘에 듭니다~ 미세하게 큰데 이정도도 감지덕지에요~! 늘 끈을 묶어줬었는데 드디어 딱맞는 제품이 ㅎㅎ,"[6.085216045379639, -3.647721529006958, -2.2721364498138428]"
1,2,0,118,"[0.14321307837963104, 0.1552562564611435, 0.16261473298072815]",사이즈가 잘못와서 교환하느라 오래걸렸지만 너무 예뻐요오 ㅠㅠㅠ 남자친구 생일선물로 사줬는데 m이 딱 깔끔하게 예쁘네요! 키는 184/78 입니다!! L도 맞긴한데 더 어벙한 느낌? 깔끔한 느낌 원하시면 m하세용!,"[5.894054412841797, -3.098088264465332, -2.7372586727142334]"
1,2,0,118,"[0.16809482872486115, 0.1704474538564682, 0.1383865624666214]","강아지가 6kg 정도 나가서 아침 3개, 저녁 3개 줘야하는데 사실 아침에 3개 주고 저녁에는 잊고 주지 못하는 떄가 더 많았어요 ㅠ 그럼에도 불구하고 눈물이 정말 많이 줄었어요 ㅎㅎ 꾸준히 재구매하는 상품입니당","[6.222991943359375, -3.2908194065093994, -2.747650146484375]"
1,2,0,118,"[0.1834556758403778, 0.142660453915596, 0.14279545843601227]",고구마 정말 크기도 좋고 예쁘게 생겼어요. 수확하고 키우시느라 고생하셨습니다. 다만 썩은 것을 두개나 주셨네요.  이것은 포장하시는 분이 고구마가 썩은 것을 구별하지 못한것 같아요. 저는 보자 마자 알았는데...,"[5.904587268829346, -3.908384323120117, -1.9291698932647705]"
1,2,0,118,"[0.1496766358613968, 0.16074073314666748, 0.16092613339424133]",베니하루카는 군고구마나 튀김 해먹으면 꿀맛이라 무조건 특상 이상으로 주문하는데 햇고구마는 쪄먹으려고 일부러 작은거 주문했어요! 아이들 간식으로 먹기 딱 좋은 사이즈에요~ 안먹어보고 리뷰 써도되는 김의준 고구마❤️,"[6.048264980316162, -3.8186593055725098, -2.0823638439178467]"
1,2,0,119,"[0.1499660164117813, 0.14730188250541687, 0.15519244968891144]","상품은 색깔도 너무예쁘고 튼튼해보이고 넘좋으네요..
그런데 캐리어만 배달된게아니라 바퀴벌레 죽은거와 함께와서 너무 놀라고 소름끼쳤네요..당장 일요일에출국해야해서 그냥쓰지만 꼼꼼하게 검수해서 보내주심좋을거같아요..","[6.06123161315918, -3.635587692260742, -2.316244602203369]"
1,2,0,115,"[0.17868804931640625, 0.17448577284812927, 0.14634032547473907]",대학로 연극 너무 오랜만에 보았는데 연극이 너무 웃기고 재미있었어요~ 보는내내 웃음이 멈추질 않아서 배가 너무 아팠어요😁특히 1인다역 하시는 이진호배우님이 너무 입담도 좋았어요😄대학로 커플 데이트 강력추천💕,"[6.052628040313721, -3.368720293045044, -2.635941505432129]"
1,2,0,118,"[0.1903620809316635, 0.156565859913826, 0.15988793969154358]",연극은 너무너무너무 재미있었는데좌석배치가 너무 아쉽네요 ㅠ 후기엔 한좌석씩 띄어서 앉았다고 했는데 너무 빼곡하게 꽉찬 상태로 연극을 봐서 코로나걱정 때문에 초반엔 집중하기가 어려웠습니다 숨도 답답하기도 했구요 ㅠ,"[5.987618923187256, -3.6505942344665527, -2.325045585632324]"
1,2,0,118,"[0.16023848950862885, 0.16874657571315765, 0.17127709090709686]",그동안 어린이 뮤지컬만 봐왔던 아이가 코미디 공연을 소극장에서 처음으로 봤는데요. 공연 시작부터 끝까지 박수치며 너무너무 좋아하고 웃고 재미있어하네요. 저도 옆에서 행복해하며 재밌게 잘 봤습니다~^^ 감사합니다~,"[6.083819389343262, -3.486985445022583, -2.521359443664551]"
1,2,0,119,"[0.18246537446975708, 0.16485679149627686, 0.14970864355564117]","배송도 빨랐고 생각했던것보다도 훨씬 더 질도 좋고 핏도 예쁘네요~! 결혼식 갈때 입으려고 샀는데 괜찮은거같아요!
169 기준 정강이정도까지 촤르르 길게 내려와서 예쁘네요! 어깨패드랑 소매끝 부분도 마음에 듭니다~","[6.02977180480957, -3.424386501312256, -2.576702356338501]"
1,2,0,118,"[0.16076141595840454, 0.16008873283863068, 0.1514977365732193]",고급스럽게 이뻐요 :))컬러는 약간 차분하고 카키스러운베이지 같은 색상인데 가을에 입기 이쁜컬러에요 ! 찰랑거리는 소재라 지금부터 입을수잇겟어용ㅋㅋ 벨트는 너무두꺼운거같아 얇은걸루 했는데 다 잘어울리는거같네용ㅎㅎ,"[6.047624588012695, -3.6311538219451904, -2.3468563556671143]"
1,2,0,118,"[0.17043724656105042, 0.1601065844297409, 0.15091995894908905]",급하게 사게 됐어요 신랑이 이게 젤 좋다며 골라줘서 신랑이랑 저랑  각각 한개씩 구매해서 무료 장착까지 해주셔서 아주 잘 쓰고 있습니다 품질도 좋고 충격센서도 아주 마음에 드네요 이저씨도 친절하시고. 많이 파세욜,"[6.127452373504639, -3.4431886672973633, -2.5682690143585205]"
1,2,0,118,"[0.15522533655166626, 0.15823470056056976, 0.14333339035511017]",아이나비최신 FXD7500블랙박스를 저렴하게 구입하였는데 GPS도 주시고 무료장착권도 상품에 함께 포장되어 빠르게 배송되어 도착했습니다주말이라서 장착은 못했지만 구입하신분들의 상품평이 좋아서 작동잘할거라고믿어요.,"[6.128156661987305, -3.527911901473999, -2.4693126678466797]"
