ClusterIdx,OriginalLabel,PredictedLabel,TextLength,Std,Text,Mean
0,2,2,119,"[0.10318619757890701, 0.06573531031608582, 0.11256302893161774]",7년 사용한TV가 토요일 오전에  고장  AS 하고 사용하려다  삼성  TV 가 1등급 이고 가격도 넘 좋아  AS포기하고 새것으로 구매 배송  주말포함4일  소요  아주 맘에 들어요  역쉬  삼성!   잘 쓸께요,"[-4.225435256958008, -1.7741671800613403, 6.251630783081055]"
0,2,2,119,"[0.11947751045227051, 0.07435058057308197, 0.11764062196016312]",배송잘받았구요 티비늠 엘지라 고민없이 주문했어요 사운드바사용할라했는데 티지가 커서 티비아래놓으？ 화면을 가려서 못쓰는데 문제는 티비 스피커가 좋아서 사운드바 필요없어서 그냔 티비만 보는중입니다 정말잘규매한둣헙니다 ,"[-4.271076202392578, -1.7429497241973877, 6.250149726867676]"
0,2,2,119,"[0.10211681574583054, 0.07256350666284561, 0.10949213057756424]",토욜 주문하고 다음주 목욜 설치 받았습니다 최저가보다 조금 더주더라도 lg공식몰이고 믿을 수 있는 ssg에서 구매했구요카드 할인 받아서 차액도 크지않아서 굿~올레드 55사이즈가 할인폭이 커서 가격대비 만족도가 커요,"[-4.320367336273193, -1.7392059564590454, 6.293065071105957]"
0,2,2,119,"[0.10680259019136429, 0.07608864456415176, 0.10852890461683273]",딸 아이가 예쁘다고 해서 사줬는데  예뻐요9살 아이가 하기엔 줄이랑 조금 크긴 하지만 그래도 끈 묶고 씌워주면 되니 저는 만족 합니다 재구매 의향 있고 마스크에 KF94 찍혀 있고 날개 모양도 너무 귀염뽀작 입니다,"[-4.281824111938477, -1.74308443069458, 6.259525299072266]"
0,2,2,119,"[0.10073456913232803, 0.07276162505149841, 0.1116228774189949]","코로나도 그렇고, 미세먼지도 심하고, 곧 황사도 올꺼라서 한꺼번에 넉넉히 구매했어요~ 중국은 정작 줘야 할 금메달은 안 주고, 필요 없는 코로나, 미세먼지, 황사 3종 세트를 주네요~마스크 잘 쓸게요~감사합니다^^","[-4.24590539932251, -1.7428176403045654, 6.23061990737915]"
0,2,2,118,"[0.108617402613163, 0.07647749781608582, 0.1044391617178917]",부모님 집 티비가 너무 오래 되서 바꿔드리게 되었는데배송도 생각보다 빨리오고 설치까지 해주셨어요부모님이 화질도 좋고 소리가 노래방 온것 처럼 잘들린다고 좋아하시네요저렴하게 너무 잘 산것 같아 뿌듯하네요감사합니다.,"[-4.224642753601074, -1.7728511095046997, 6.257585525512695]"
0,2,2,118,"[0.09657270461320877, 0.07366812229156494, 0.10258092731237411]",한달 사용후기입니다.사무실에서 사용중인데노트북 무선연결이 잘되서 회의 때 편리합니다. 유튜브도 바로 시청 가능하고 삼성비지니스TV 앱을 사용하면 제품홍보용 화면 구성도 가능합니다여러모로 만족하며 사용하고 있습니다,"[-4.2241106033325195, -1.8180559873580933, 6.2948527336120605]"
0,2,2,118,"[0.09786941111087799, 0.07812470942735672, 0.10632708668708801]",얼마나 싸고 좋은지요어른집에 설치하는 거였는데 어른들 불편하실까봐 다 배려해주시고 사전 전화까지 해주신 사장님감사합니다설치기사님 넘 잘해주셔서 어른들 넘 좋아하셨어요젤싸고 좋은 물건 넘 감사드립니다 사업번창하세요,"[-4.169809341430664, -1.79802668094635, 6.203813076019287]"
0,2,2,118,"[0.11406740546226501, 0.07997311651706696, 0.11871415376663208]",배송이 엄청 빨랐어요금욜시켰는데 일욜전화오고 월욜아침 설치됨주말이라 월욜 전화올줄알았는데~~엄청 빠르네요아주 크고 좋습니다화면도 옆에서봐도 선명함이 살아있어요시골 어머님댁 시드렸는데 좋아하셔요빛 반사도없어 좋아요,"[-4.181344509124756, -1.7561545372009277, 6.165961265563965]"
0,2,2,118,"[0.09475751966238022, 0.07542221248149872, 0.0981404110789299]",이가격에 UHD TV 를 구매하긴 힘들었어요한참 쇼핑을로 알아보고 구매했습니다여자들은 hud 화질을 모르더라고요 그냥 금액만 보고 예산과 합의를 보는데tv는 화질이죠 금액도 저렴하면서 화질좋은 tv로 추천 합니다,"[-4.237963676452637, -1.772364854812622, 6.243578910827637]"
